track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRAWDRA128F1464B55,Carnival Town,Norah Jones,https://p.scdn.co/mp3-preview/354918d02b084b16f818d769a0d0eece543e7001?cid=774b29d4f13844c495f206cafdad9c86,3T4pMhHBQiDZMb8G9BB9QJ,"pop, female_vocalists, jazz, singer_songwriter, blues",,2004,191960,0.594,0.0361,9,-16.062,0,0.0318,0.987,0.0161,0.111,0.186,86.101,4
TRRFPSQ128F92CAB96,My One and Only Love,Frank Sinatra,https://p.scdn.co/mp3-preview/fe60e9c24ada2463d260ced72de901114e3bb381?cid=774b29d4f13844c495f206cafdad9c86,00AUNKqEa0L1IWae9bhbKF,love,Jazz,2013,190106,0.33,0.167,0,-14.011,1,0.0349,0.744,0.0,0.266,0.326,115.459,1
TRPUASK128E078A756,To Germany With Love,Alphaville,https://p.scdn.co/mp3-preview/5663687029734c6b3ade659514954ebdb195ecee?cid=774b29d4f13844c495f206cafdad9c86,0BkUxjkTxjxE5MSaHfTpkQ,"80s, german, synthpop",,1984,254933,0.598,0.691,0,-16.819,1,0.0365,0.0228,0.00914,0.152,0.606,134.566,4
TRUHUWB128F4297EFB,I Am You,Nightmares on Wax,https://p.scdn.co/mp3-preview/c4bb564e25dc89438764b8b4adafdaed9c728d33?cid=774b29d4f13844c495f206cafdad9c86,5d7tvMoTrlcYurv2eCgwN2,"ambient, soul, chillout, trip_hop, downtempo, lounge, chill",,2006,402280,0.405,0.378,4,-9.864,1,0.0369,0.45,0.58,0.105,0.228,74.338,1
TRVJZRR128F92D679A,Won't Let Me Go,Amos Lee,https://p.scdn.co/mp3-preview/ace060664e4ba288eba9999741ddba921ced3a14?cid=774b29d4f13844c495f206cafdad9c86,0m3a8XNXUDCdXgry32ydsd,"folk, soul, guitar, mellow",Folk,2008,257426,0.548,0.546,5,-7.239,1,0.0316,0.243,4.84e-06,0.234,0.517,137.275,4
TRAEMOL128F933BE7E,Too Much,Sufjan Stevens,https://p.scdn.co/mp3-preview/7733ef0116f3a5dca883b2c43fd38460cadd8bab?cid=774b29d4f13844c495f206cafdad9c86,0vDzmJ9xi0xTW6JXVUYPcL,"electronic, indie, experimental, folk, singer_songwriter, psychedelic, indie_pop",,2010,405653,0.539,0.814,0,-10.691,1,0.337,0.546,0.0603,0.569,0.611,147.99,1
TRABMTL128F92C3A05,Anyone Can Dig A Hole But It Takes A Real Man To Call It Home,Underoath,https://p.scdn.co/mp3-preview/c7b2007256938563cc1f0a00c037e90bb98de516?cid=774b29d4f13844c495f206cafdad9c86,1YNmI8U6y6DTw56oOITpiS,"hardcore, metalcore, post_hardcore, screamo",Rock,2008,196426,0.163,0.95,10,-4.086,1,0.0947,0.000115,0.0,0.35,0.253,173.827,4
TRDKMZR128F9339E86,Sleep Walk,Joe Satriani,https://p.scdn.co/mp3-preview/f09cc5c3a1c9bb214b573198560ec8d56e36995d?cid=774b29d4f13844c495f206cafdad9c86,22zL03IJNs1lhEAf3hUZuX,"instrumental, guitar",,1987,163240,0.712,0.512,0,-7.704,1,0.0324,0.812,0.84,0.0886,0.157,96.129,3
TRQQUXK12903CB63E8,Back Up Plan,Big Boi,https://p.scdn.co/mp3-preview/137c8f0254f55e8f3d9b9a0f56db2bd74d2a5770?cid=774b29d4f13844c495f206cafdad9c86,1R2wSwe9sXWaKIDwdpEvUi,"hip_hop, male_vocalists",,2010,223200,0.854,0.87,8,-4.075,1,0.0984,0.009,0.00236,0.372,0.744,111.54,4
TRHUINL128F930A97A,Wendigo,Crippled Black Phoenix,https://p.scdn.co/mp3-preview/cf0ec2ecd4630cea301582ebdd2df538f9b08fcc?cid=774b29d4f13844c495f206cafdad9c86,2drErDEojWItFAwzHCfRf8,"instrumental, trance",Rock,2009,232893,0.164,0.258,9,-12.175,0,0.0375,0.842,0.908,0.124,0.0604,103.909,1
TROLANB128F147ACA1,I Hate Love,Garbage,https://p.scdn.co/mp3-preview/afdc76c778cc12a4b919ca92a771a4849272c7f4?cid=774b29d4f13844c495f206cafdad9c86,05l0hJhTFyM89gLEFsNu6y,"female_vocalists, alternative_rock",,2012,234453,0.52,0.911,11,-4.644,0,0.0356,0.00117,3.92e-05,0.359,0.775,136.043,4
TRAYXYJ128F1492AC2,No One Will Do,Mary J. Blige,https://p.scdn.co/mp3-preview/64bf4d12c2b75d92e93734acb638aa69d208d806?cid=774b29d4f13844c495f206cafdad9c86,00CuvhHA5eeacjxBrHpFtf,"soul, rnb",RnB,2006,286026,0.481,0.804,6,-4.976,1,0.245,0.0277,0.00116,0.369,0.47,165.616,1
TRJWCKK12903CF41C2,Prolific Murder Contrivance,Aborted,https://p.scdn.co/mp3-preview/c77e89c7330d75a8b9c3fe23d000b652212d9e27?cid=774b29d4f13844c495f206cafdad9c86,2Pg13Gv5HTeU7Q154tJjdA,"death_metal, grindcore",,2007,186733,0.233,0.967,0,-5.086,0,0.0912,4.49e-06,0.806,0.0897,0.332,109.671,4
TRLJQEW128F4260D36,The Prophecy,Iron Maiden,https://p.scdn.co/mp3-preview/cc3f8d154cdd8a9e23dc0f9188af74f1e45d6bc0?cid=774b29d4f13844c495f206cafdad9c86,34tf7GLPLk2E2bpltazi8u,"metal, heavy_metal",,1988,305440,0.268,0.767,2,-9.574,0,0.0522,0.208,0.000118,0.165,0.195,141.241,1
TRQJYWZ128F92E5518,The Universe!,Do Make Say Think,https://p.scdn.co/mp3-preview/4d81c1daff931f9759915ba46bbe4032a7b7a610?cid=774b29d4f13844c495f206cafdad9c86,29R4TmtESUlWJkbFIW11Eu,"instrumental, post_rock",,2007,302946,0.11,0.96,7,-5.627,1,0.0975,0.00108,0.525,0.812,0.109,81.393,4
TRFJNVS128F4299DE6,Urban Angel,Natalie Walker,https://p.scdn.co/mp3-preview/bf912d261b6f6e1c2bc31783f73bcac43a263544?cid=774b29d4f13844c495f206cafdad9c86,1zCjglwKcSYYqgnm6yFxbw,"female_vocalists, chillout",,2006,268840,0.534,0.393,7,-9.834,1,0.0288,0.843,1.55e-06,0.0773,0.31,130.011,3
TROIJYA12903D03CF1,No Idea,Don Toliver,https://p.scdn.co/mp3-preview/73d2161b89046de4cfb25807c84bdfe1c293a601?cid=774b29d4f13844c495f206cafdad9c86,0VHhOYggCWZNoquc2M6Pfi,"rap, hip_hop, rnb",,2019,154424,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,4
TRRLWHN128F932C639,Dusty,Kings of Leon,https://p.scdn.co/mp3-preview/5ae6a46be7aab9f383dc91d7aeab46df908d48cb?cid=774b29d4f13844c495f206cafdad9c86,0faNfuRILWBI1LOEF2Vbkg,"rock, indie, classic_rock, indie_rock, 00s, blues_rock",,2003,260399,0.661,0.519,9,-7.192,1,0.0297,0.162,0.0,0.0846,0.313,105.034,3
TRHGOZG128F147FBB2,Ray of Light,Madonna,https://p.scdn.co/mp3-preview/ed5c0395c9298d39b23439feb3f65a481a426516?cid=774b29d4f13844c495f206cafdad9c86,0Bgi4fNa4IjCwG4XA0Zq1Z,"electronic, pop, female_vocalists, dance, 90s",,2009,273826,0.554,0.932,3,-6.194,1,0.0314,0.000497,0.455,0.0614,0.703,127.209,4
TRWWREQ12903CB509F,An Early Spring,June Madrona,https://p.scdn.co/mp3-preview/84a72f3adca7c56791758bf3cc0fb10de26b9b0c?cid=774b29d4f13844c495f206cafdad9c86,4LvRiqlnPEEpxrhpk40ZZx,"alternative, indie, pop, female_vocalists, alternative_rock, folk, indie_rock, instrumental, singer_songwriter, chillout, blues, acoustic, american, indie_pop, country, downtempo, male_vocalists, love, beautiful, 00s, guitar, mellow, chill",,2006,254920,0.408,0.146,2,-12.985,1,0.0317,0.931,0.0193,0.111,0.147,164.77,3
TRXHSAJ128E07866BB,It's Amazing,Jem,https://p.scdn.co/mp3-preview/bd0600685a10f0eeafe01d4610c13e5645895436?cid=774b29d4f13844c495f206cafdad9c86,02JmePu3DkoJPN17rF2hhB,"pop, female_vocalists, british, chillout, soundtrack",,2008,238013,0.642,0.609,0,-7.114,0,0.0239,0.203,0.00457,0.124,0.387,99.009,4
TRLRBOF12903D0C3A7,German Haircut,Flying Lotus,https://p.scdn.co/mp3-preview/145942c05c4976a5bb870cc93dbd56dc45392af1?cid=774b29d4f13844c495f206cafdad9c86,1Pv5j7BtAEDnuvdHNyuOtC,"electronic, jazz, experimental, instrumental, chillout, downtempo, idm, mellow, lounge, chill",,2010,117173,0.326,0.592,8,-10.657,0,0.0636,0.469,0.502,0.392,0.201,74.423,5
